Date,Open,High,Low,Close,Volume,Year,Month,Symbol,Sector,Company Name
2025-08-26,27.5,27.5,26.87,26.95,138581,2025,8,LPL,Power Generation and Distribution,Lalpir Power Limited
2025-08-26,413.7,422.98,411.0,415.44,907341,2025,8,LUCK,Cement,Lucky Cement Limited
2025-08-26,34.02,35.75,33.51,34.56,772451,2025,8,MACFL,Misc.,Macpac Films Limited
2025-08-26,400.0,403.0,397.0,398.34,26780,2025,8,MACTER,Pharmaceuticals,Macter International Limited
2025-08-26,627.11,635.0,627.11,628.43,672418,2025,8,MARI,Oil and Gas Exploration,Mari Petroleum Company Limited
2025-08-26,355.0,357.0,348.01,350.18,235528,2025,8,MCB,Commercial Banks,MCB Bank Limited
2025-08-26,3.33,3.42,3.27,3.33,830295,2025,8,MDTL,Technoly and Commnunication,Media Times Limited
2025-08-26,394.9,396.0,389.21,391.24,1783888,2025,8,MEBL,Commercial Banks,Meezan Bank Limited
2025-08-26,345.0,355.78,345.0,346.13,95,2025,8,MEHT,Textile Composite,Mehmood Textile Mills Limited
2025-08-26,12.2,12.2,11.75,11.85,329424,2025,8,MERIT,Paper and Board,Merit Packaging Limited
2025-08-26,211.4,218.49,210.11,211.34,131020,2025,8,MFFL,Food and Personal Care Products,Mitchells Fruit Farms Limited
2025-08-26,54.45,54.95,53.05,54.0,52839,2025,8,MFL,Food and Personal Care Products,Matco Foods Limited
2025-08-26,43.75,44.5,42.51,43.25,926119,2025,8,MIRKS,Sugar and Allied Industries,Mirpurkhas Sugar Mills Limited
2025-08-26,95.31,98.0,94.64,96.2,6671215,2025,8,MLCF,Cement,Maple Leaf Cement Factory Limited
2025-08-26,43.85,43.85,41.5,41.77,32121,2025,8,MQTM,Textile Spinning,Maqbool Textile Mills Limited
2025-08-26,67.98,68.98,67.5,68.49,10674,2025,8,MRNS,Sugar and Allied Industries,Mehran Sugar Mills Limited
2025-08-26,14.3,14.64,14.01,14.4,65949,2025,8,MSCL,Engineering,Metropolitan Steel Corporation Limited
2025-08-26,63.3,66.0,63.3,65.0,6701,2025,8,MSOT,Textile Composite,Masood Textile Mills Limited
2025-08-26,572.99,576.0,571.0,574.24,36840,2025,8,MTL,Automobile Assembler,Millat Tractors Limited
2025-08-26,75.0,76.44,74.5,75.68,946670,2025,8,MUGHAL,Engineering,Mughal Iron and Steel Industries Limited
2025-08-26,1030.55,1070.0,1030.55,1051.28,22135,2025,8,MUREB,Food and Personal Care Products,Murree Brewery Company Limited
2025-08-26,47.39,47.39,45.5,46.32,2996,2025,8,MWMP,Misc.,Mandviwala Mauser Plastic Industries Limited
2025-08-26,71.0,73.0,71.0,71.93,600,2025,8,NAGC,Textile Spinning,Nagina Cotton Mills Limited
2025-08-26,382.0,385.0,379.16,381.92,184015,2025,8,NATF,Food and Personal Care Products,National Foods Limited
2025-08-26,154.24,155.2,152.01,152.38,4316256,2025,8,NBP,Commercial Banks,National Bank Of Pakistan
